Name,Shots on Goal,Shots off Goal,Total Shots ,Blocked Shots,Shots insidebox ,Shots outsidebox ,Fouls,Corner Kicks,Offsides,Yellow Cards ,Red Cards,Goalkeeper Saves ,Total passes,Passes accurate 
Ajax,8.647059,7.0,20.294118,4.647059,12.735294,7.558824,9.823529,7.882353,1.862069,1.129032,0.08,2.617647,578.441176,490.647059
Getafe,3.526316,4.026316,9.815789,2.324324,6.105263,3.736842,17.710526,4.763158,2.918919,3.394737,0.131579,2.605263,302.605263,199.342105
