,Shots on Goal,Shots off Goal,Total Shots,Blocked Shots,Shots insidebox,Shots outsidebox,Fouls,Corner Kicks,Offsides,Ball Possession,Yellow Cards,Red Cards,Goalkeeper Saves,Total passes,Passes accurate,Passes %,Game 1,Game
0,0,1,2,1,2,0,13,3,5,66%,3,,2,418,306,73%,1,1
1,2,4,8,2,7,1,14,5,3,69%,5,,0,565,445,79%,2,2
