,Shots on Goal,Shots off Goal,Total Shots,Blocked Shots,Shots insidebox,Shots outsidebox,Fouls,Corner Kicks,Offsides,Ball Possession,Yellow Cards,Red Cards,Goalkeeper Saves,Total passes,Passes accurate,Passes %,Game
0,4,5,11,2,5,6,18,5,2,34%,2,,0,212,118,56%,1
1,1,6,9,2,6,3,14,4,2,31%,5,,1,244,135,55%,2
