,Shots on Goal,Shots off Goal,Total Shots,Blocked Shots,Shots insidebox,Shots outsidebox,Fouls,Corner Kicks,Offsides,Ball Possession,Yellow Cards,Red Cards,Goalkeeper Saves,Total passes,Passes accurate,Passes %
18,"{'home': '3', 'away': '2'}","{'home': '3', 'away': '7'}","{'home': '7', 'away': '9'}","{'home': '1', 'away': '0'}","{'home': '3', 'away': '5'}","{'home': '4', 'away': '4'}","{'home': '19', 'away': '16'}","{'home': '5', 'away': '2'}","{'home': '5', 'away': '6'}","{'home': '42%', 'away': '58%'}","{'home': '3', 'away': '1'}","{'home': '0', 'away': '0'}","{'home': '2', 'away': '2'}","{'home': '325', 'away': '455'}","{'home': '202', 'away': '333'}","{'home': '62%', 'away': '73%'}"
19,"{'home': '6', 'away': '5'}","{'home': '4', 'away': '1'}","{'home': '17', 'away': '7'}","{'home': '7', 'away': '1'}","{'home': '10', 'away': '5'}","{'home': '7', 'away': '2'}","{'home': '17', 'away': '12'}","{'home': '6', 'away': '2'}","{'home': '1', 'away': '3'}","{'home': '49%', 'away': '51%'}","{'home': '5', 'away': '1'}","{'home': '0', 'away': '0'}","{'home': '3', 'away': '4'}","{'home': '365', 'away': '377'}","{'home': '261', 'away': '276'}","{'home': '72%', 'away': '73%'}"
20,"{'home': '1', 'away': '2'}","{'home': '12', 'away': '3'}","{'home': '15', 'away': '7'}","{'home': '2', 'away': '2'}","{'home': '9', 'away': '6'}","{'home': '6', 'away': '1'}","{'home': '12', 'away': '15'}","{'home': '3', 'away': '4'}","{'home': '4', 'away': '0'}","{'home': '64%', 'away': '36%'}","{'home': '3', 'away': '3'}","{'home': '0', 'away': '0'}","{'home': '1', 'away': '0'}","{'home': '608', 'away': '328'}","{'home': '503', 'away': '220'}","{'home': '83%', 'away': '67%'}"
21,"{'home': '1', 'away': '1'}","{'home': '7', 'away': '1'}","{'home': '11', 'away': '2'}","{'home': '3', 'away': '0'}","{'home': '5', 'away': '2'}","{'home': '6', 'away': '0'}","{'home': '17', 'away': '20'}","{'home': '5', 'away': '2'}","{'home': None, 'away': None}","{'home': '50%', 'away': '50%'}","{'home': '2', 'away': '6'}","{'home': '0', 'away': '0'}","{'home': '1', 'away': '1'}","{'home': '358', 'away': '354'}","{'home': '222', 'away': '242'}","{'home': '62%', 'away': '68%'}"
22,"{'home': '6', 'away': '1'}","{'home': '3', 'away': '6'}","{'home': '12', 'away': '10'}","{'home': '3', 'away': '3'}","{'home': '6', 'away': '3'}","{'home': '6', 'away': '7'}","{'home': '7', 'away': '13'}","{'home': '9', 'away': '3'}","{'home': '7', 'away': '3'}","{'home': '79%', 'away': '21%'}","{'home': '2', 'away': '3'}","{'home': '0', 'away': '0'}","{'home': '1', 'away': '6'}","{'home': '778', 'away': '203'}","{'home': '682', 'away': '115'}","{'home': '88%', 'away': '57%'}"
23,"{'home': '5', 'away': '1'}","{'home': '2', 'away': '2'}","{'home': '9', 'away': '4'}","{'home': '2', 'away': '1'}","{'home': '6', 'away': '1'}","{'home': '3', 'away': '3'}","{'home': '21', 'away': '15'}","{'home': '5', 'away': '5'}","{'home': '1', 'away': '3'}","{'home': '31%', 'away': '69%'}","{'home': '4', 'away': '3'}","{'home': '0', 'away': '0'}","{'home': '1', 'away': '2'}","{'home': '254', 'away': '554'}","{'home': '167', 'away': '454'}","{'home': '66%', 'away': '82%'}"
24,"{'home': '4', 'away': '3'}","{'home': '3', 'away': '2'}","{'home': '9', 'away': '5'}","{'home': '2', 'away': '0'}","{'home': '5', 'away': '2'}","{'home': '4', 'away': '3'}","{'home': '16', 'away': '21'}","{'home': '2', 'away': '8'}","{'home': '3', 'away': '5'}","{'home': '53%', 'away': '47%'}","{'home': '5', 'away': '3'}","{'home': '0', 'away': '0'}","{'home': '3', 'away': '3'}","{'home': '436', 'away': '357'}","{'home': '341', 'away': '245'}","{'home': '78%', 'away': '69%'}"
25,"{'home': '5', 'away': '1'}","{'home': '6', 'away': '7'}","{'home': '14', 'away': '9'}","{'home': '3', 'away': '1'}","{'home': '8', 'away': '4'}","{'home': '7', 'away': '5'}","{'home': '6', 'away': '9'}","{'home': '10', 'away': '6'}","{'home': '2', 'away': '6'}","{'home': '41%', 'away': '59%'}","{'home': '2', 'away': '4'}","{'home': '0', 'away': '0'}","{'home': '1', 'away': '3'}","{'home': '310', 'away': '424'}","{'home': '200', 'away': '324'}","{'home': '65%', 'away': '76%'}"
26,"{'home': '6', 'away': '4'}","{'home': '4', 'away': '0'}","{'home': '14', 'away': '4'}","{'home': '4', 'away': '0'}","{'home': '11', 'away': '2'}","{'home': '3', 'away': '2'}","{'home': '13', 'away': '18'}","{'home': '8', 'away': '0'}","{'home': '6', 'away': '4'}","{'home': '76%', 'away': '24%'}","{'home': '1', 'away': '3'}","{'home': '0', 'away': '1'}","{'home': '3', 'away': '4'}","{'home': '805', 'away': '258'}","{'home': '741', 'away': '190'}","{'home': '92%', 'away': '74%'}"
27,"{'home': '3', 'away': '3'}","{'home': '9', 'away': '5'}","{'home': '13', 'away': '11'}","{'home': '1', 'away': '3'}","{'home': '10', 'away': '6'}","{'home': '3', 'away': '5'}","{'home': '14', 'away': '16'}","{'home': '4', 'away': '7'}","{'home': '2', 'away': '3'}","{'home': '44%', 'away': '56%'}","{'home': '4', 'away': '7'}","{'home': '0', 'away': '1'}","{'home': '2', 'away': '3'}","{'home': '278', 'away': '346'}","{'home': '166', 'away': '238'}","{'home': '60%', 'away': '69%'}"
