,Shots on Goal,Shots off Goal,Total Shots,Blocked Shots,Shots insidebox,Shots outsidebox,Fouls,Corner Kicks,Offsides,Ball Possession,Yellow Cards,Red Cards,Goalkeeper Saves,Total passes,Passes accurate,Passes %
19,"{'home': '11', 'away': '1'}","{'home': '5', 'away': '2'}","{'home': '23', 'away': '4'}","{'home': '7', 'away': '1'}","{'home': '13', 'away': '1'}","{'home': '10', 'away': '3'}","{'home': '7', 'away': '13'}","{'home': '4', 'away': '0'}","{'home': '1', 'away': '1'}","{'home': '68%', 'away': '32%'}","{'home': '0', 'away': '1'}","{'home': '0', 'away': '0'}","{'home': '1', 'away': '5'}","{'home': '651', 'away': '300'}","{'home': '580', 'away': '205'}","{'home': '89%', 'away': '68%'}"
20,"{'home': '2', 'away': '7'}","{'home': '6', 'away': '11'}","{'home': '8', 'away': '22'}","{'home': '0', 'away': '4'}","{'home': '5', 'away': '14'}","{'home': '3', 'away': '8'}","{'home': '19', 'away': '12'}","{'home': '8', 'away': '10'}","{'home': '1', 'away': '1'}","{'home': '36%', 'away': '64%'}","{'home': '1', 'away': '1'}","{'home': '0', 'away': '0'}","{'home': '7', 'away': '2'}","{'home': '295', 'away': '527'}","{'home': '187', 'away': '425'}","{'home': '63%', 'away': '81%'}"
21,"{'home': '10', 'away': '2'}","{'home': '11', 'away': '3'}","{'home': '33', 'away': '6'}","{'home': '12', 'away': '1'}","{'home': '23', 'away': '3'}","{'home': '10', 'away': '3'}","{'home': '9', 'away': '15'}","{'home': '13', 'away': '2'}","{'home': '1', 'away': '1'}","{'home': '72%', 'away': '28%'}","{'home': '1', 'away': '3'}","{'home': '0', 'away': '0'}","{'home': '2', 'away': '6'}","{'home': '661', 'away': '254'}","{'home': '587', 'away': '169'}","{'home': '89%', 'away': '67%'}"
22,"{'home': '1', 'away': '11'}","{'home': '5', 'away': '3'}","{'home': '10', 'away': '17'}","{'home': '4', 'away': '3'}","{'home': '5', 'away': '9'}","{'home': '5', 'away': '8'}","{'home': '10', 'away': '14'}","{'home': '3', 'away': '8'}","{'home': '1', 'away': '1'}","{'home': '37%', 'away': '63%'}","{'home': '1', 'away': '1'}","{'home': '0', 'away': '0'}","{'home': '5', 'away': '0'}","{'home': '300', 'away': '501'}","{'home': '197', 'away': '412'}","{'home': '66%', 'away': '82%'}"
23,"{'home': '8', 'away': '2'}","{'home': '11', 'away': '2'}","{'home': '21', 'away': '9'}","{'home': '2', 'away': '5'}","{'home': '11', 'away': '3'}","{'home': '10', 'away': '6'}","{'home': '15', 'away': '12'}","{'home': '7', 'away': '0'}","{'home': '1', 'away': '0'}","{'home': '67%', 'away': '33%'}","{'home': None, 'away': None}","{'home': None, 'away': None}","{'home': '2', 'away': '4'}","{'home': '762', 'away': '370'}","{'home': '681', 'away': '290'}","{'home': '89%', 'away': '78%'}"
24,"{'home': '7', 'away': '3'}","{'home': '9', 'away': '1'}","{'home': '17', 'away': '7'}","{'home': '1', 'away': '3'}","{'home': '10', 'away': '7'}","{'home': '7', 'away': '0'}","{'home': '9', 'away': '13'}","{'home': '7', 'away': '4'}","{'home': None, 'away': None}","{'home': '59%', 'away': '41%'}","{'home': '2', 'away': '3'}","{'home': None, 'away': '1'}","{'home': '2', 'away': '5'}","{'home': '540', 'away': '375'}","{'home': '465', 'away': '298'}","{'home': '86%', 'away': '79%'}"
25,"{'home': '8', 'away': '6'}","{'home': '8', 'away': '5'}","{'home': '17', 'away': '15'}","{'home': '1', 'away': '4'}","{'home': '11', 'away': '7'}","{'home': '6', 'away': '8'}","{'home': '14', 'away': '13'}","{'home': '2', 'away': '7'}","{'home': '1', 'away': '3'}","{'home': '35%', 'away': '65%'}","{'home': '0', 'away': '1'}","{'home': None, 'away': None}","{'home': '5', 'away': '5'}","{'home': '312', 'away': '546'}","{'home': '216', 'away': '436'}","{'home': '69%', 'away': '80%'}"
26,"{'home': '7', 'away': '3'}","{'home': '3', 'away': '6'}","{'home': '16', 'away': '11'}","{'home': '6', 'away': '2'}","{'home': '8', 'away': '7'}","{'home': '8', 'away': '4'}","{'home': '9', 'away': '16'}","{'home': '4', 'away': '8'}","{'home': '0', 'away': '3'}","{'home': '49%', 'away': '51%'}","{'home': '3', 'away': '2'}","{'home': '1', 'away': None}","{'home': '2', 'away': '5'}","{'home': '420', 'away': '416'}","{'home': '304', 'away': '310'}","{'home': '72%', 'away': '75%'}"
27,"{'home': '3', 'away': '10'}","{'home': '9', 'away': '5'}","{'home': '15', 'away': '17'}","{'home': '3', 'away': '2'}","{'home': '4', 'away': '13'}","{'home': '11', 'away': '4'}","{'home': '13', 'away': '9'}","{'home': '6', 'away': '4'}","{'home': None, 'away': None}","{'home': '38%', 'away': '62%'}","{'home': '2', 'away': '1'}","{'home': None, 'away': None}","{'home': '4', 'away': '3'}","{'home': '364', 'away': '605'}","{'home': '283', 'away': '509'}","{'home': '78%', 'away': '84%'}"
28,"{'home': '4', 'away': '5'}","{'home': '4', 'away': '4'}","{'home': '13', 'away': '13'}","{'home': '5', 'away': '4'}","{'home': '10', 'away': '7'}","{'home': '3', 'away': '6'}","{'home': '10', 'away': '15'}","{'home': '3', 'away': '1'}","{'home': '0', 'away': '1'}","{'home': '45%', 'away': '55%'}","{'home': '2', 'away': '0'}","{'home': None, 'away': None}","{'home': '2', 'away': '3'}","{'home': '423', 'away': '527'}","{'home': '316', 'away': '415'}","{'home': '75%', 'away': '79%'}"
29,"{'home': '13', 'away': '4'}","{'home': '5', 'away': '4'}","{'home': '22', 'away': '9'}","{'home': '4', 'away': '1'}","{'home': '19', 'away': '6'}","{'home': '3', 'away': '3'}","{'home': '9', 'away': '12'}","{'home': '7', 'away': '1'}","{'home': '3', 'away': '0'}","{'home': '60%', 'away': '40%'}","{'home': '2', 'away': '3'}","{'home': None, 'away': None}","{'home': '2', 'away': '7'}","{'home': '609', 'away': '405'}","{'home': '500', 'away': '299'}","{'home': '82%', 'away': '74%'}"
30,"{'home': '2', 'away': '5'}","{'home': '7', 'away': '5'}","{'home': '12', 'away': '16'}","{'home': '3', 'away': '6'}","{'home': '9', 'away': '11'}","{'home': '3', 'away': '5'}","{'home': '12', 'away': '7'}","{'home': '4', 'away': '6'}","{'home': '1', 'away': '3'}","{'home': '39%', 'away': '61%'}","{'home': '4', 'away': '3'}","{'home': None, 'away': '1'}","{'home': '3', 'away': '2'}","{'home': '299', 'away': '472'}","{'home': '175', 'away': '349'}","{'home': '59%', 'away': '74%'}"
31,"{'home': '9', 'away': '4'}","{'home': '5', 'away': '2'}","{'home': '20', 'away': '9'}","{'home': '6', 'away': '3'}","{'home': '15', 'away': '5'}","{'home': '5', 'away': '4'}","{'home': '15', 'away': '14'}","{'home': '5', 'away': '2'}","{'home': '3', 'away': '0'}","{'home': '56%', 'away': '44%'}","{'home': '2', 'away': '3'}","{'home': None, 'away': '1'}","{'home': '2', 'away': '5'}","{'home': '526', 'away': '409'}","{'home': '450', 'away': '339'}","{'home': '86%', 'away': '83%'}"
32,"{'home': '12', 'away': '3'}","{'home': '9', 'away': '3'}","{'home': '25', 'away': '11'}","{'home': '4', 'away': '5'}","{'home': '17', 'away': '7'}","{'home': '8', 'away': '4'}","{'home': '8', 'away': '9'}","{'home': '5', 'away': '4'}","{'home': None, 'away': None}","{'home': '64%', 'away': '36%'}","{'home': '1', 'away': '4'}","{'home': None, 'away': None}","{'home': '2', 'away': '8'}","{'home': '609', 'away': '325'}","{'home': '534', 'away': '248'}","{'home': '88%', 'away': '76%'}"
33,"{'home': '3', 'away': '9'}","{'home': '5', 'away': '2'}","{'home': '11', 'away': '16'}","{'home': '3', 'away': '5'}","{'home': '6', 'away': '10'}","{'home': '5', 'away': '6'}","{'home': '8', 'away': '6'}","{'home': '2', 'away': '6'}","{'home': '0', 'away': '3'}","{'home': '37%', 'away': '63%'}","{'home': '1', 'away': '0'}","{'home': None, 'away': None}","{'home': '5', 'away': '2'}","{'home': '329', 'away': '558'}","{'home': '240', 'away': '478'}","{'home': '73%', 'away': '86%'}"
