,Shots on Goal,Shots off Goal,Total Shots,Blocked Shots,Shots insidebox,Shots outsidebox,Fouls,Corner Kicks,Offsides,Ball Possession,Yellow Cards,Red Cards,Goalkeeper Saves,Total passes,Passes accurate,Passes %
0,7,6,17,4,9,8,13,12,,65%,0,0,1,547,453,83%
1,9,8,18,1,10,8,9,7,2,73%,1,0,1,666,591,89%
2,10,8,21,3,14,7,10,11,1,62%,0,0,2,636,545,86%
3,8,6,16,2,6,10,15,5,2,56%,0,0,7,463,379,82%
4,6,8,18,4,12,6,6,4,1,71%,2,0,2,698,616,88%
5,4,4,15,7,10,5,12,6,1,66%,2,0,5,548,459,84%
6,4,8,17,5,13,4,12,8,4,57%,2,0,5,530,432,82%
7,11,8,23,4,15,8,11,6,2,57%,2,0,3,514,441,86%
8,10,6,17,1,9,8,13,10,0,66%,1,0,4,598,505,84%
9,10,9,28,9,16,12,8,13,2,69%,1,0,2,670,598,89%
10,10,7,21,4,7,14,8,5,5,61%,0,0,0,618,528,85%
11,12,8,29,9,22,7,4,15,2,63%,0,0,2,561,482,86%
12,5,8,16,3,12,4,6,7,4,74%,1,0,3,763,676,89%
13,12,11,32,9,19,13,11,19,0,72%,,0,2,609,533,88%
14,6,7,14,1,9,5,7,7,3,67%,3,0,7,530,468,88%
15,17,13,35,5,21,14,3,14,,73%,0,0,2,767,681,89%
16,7,4,17,6,11,6,8,9,2,64%,2,0,1,502,396,79%
17,9,12,27,6,21,6,7,11,2,67%,0,0,5,522,440,84%
18,7,4,16,5,10,6,14,5,0,51%,,0,3,411,334,81%
19,11,5,23,7,13,10,7,4,1,68%,0,0,1,651,580,89%
20,7,11,22,4,14,8,12,10,1,64%,1,0,2,527,425,81%
21,10,11,33,12,23,10,9,13,1,72%,1,0,2,661,587,89%
22,11,3,17,3,9,8,14,8,1,63%,1,0,0,501,412,82%
23,8,11,21,2,11,10,15,7,1,67%,,,2,762,681,89%
24,7,9,17,1,10,7,9,7,,59%,2,,2,540,465,86%
25,6,5,15,4,7,8,13,7,3,65%,1,,5,546,436,80%
26,7,3,16,6,8,8,9,4,0,49%,3,1,2,420,304,72%
27,10,5,17,2,13,4,9,4,,62%,1,,3,605,509,84%
28,5,4,13,4,7,6,15,1,1,55%,0,,3,527,415,79%
29,13,5,22,4,19,3,9,7,3,60%,2,,2,609,500,82%
30,5,5,16,6,11,5,7,6,3,61%,3,1,2,472,349,74%
31,9,5,20,6,15,5,15,5,3,56%,2,,2,526,450,86%
32,12,9,25,4,17,8,8,5,,64%,1,,2,609,534,88%
33,9,2,16,5,10,6,6,6,3,63%,0,,2,558,478,86%
