,0
0,1-1
1,0-1
2,5-0
3,0-4
4,3-0
5,3-0
6,0-2
7,5-0
8,0-4
9,3-0
10,2-0
11,1-7
12,0-3
13,5-1
14,1-4
15,8-0
16,1-3
17,4-4
18,6-2
19,6-0
20,1-0
21,5-0
22,1-5
23,4-0
24,2-1
25,1-0
26,3-1
27,2-5
28,1-4
29,6-2
30,0-1
31,4-2
32,4-1
33,1-4
